Name of the game,Fit platform,Num Of comments,Num Of likes,Raiting,Grade,Num of pros,Num of cons,First Released,The game rviewer,The date of the review
Dragon's Dogma Review,PS3,73,18,Great,8,5.0,3.0,"May 22, 2012","
    Kevin VanOrd
  ","September 29, 2013 at 4:13PM PDT"
Dragon's Dogma: Dark Arisen Review,X360,276,20,Good,7,4.0,2.0,"May 22, 2012","
    Kevin VanOrd
  ","September 29, 2013 at 4:13PM PDT"
DARK Review,PC,341,2,Bad,3.5,1.0,4.0,"Jul 3, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:12PM PDT"
Far Cry 3: Blood Dragon Review,X360,285,6,Great,8.5,5.0,2.0,"Apr 30, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:10PM PDT"
Far Cry 3: Blood Dragon Review,PC,42,6,Great,8.5,5.0,2.0,"Apr 30, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:10PM PDT"
Deadpool Review,X360,757,27,Mediocre,5.5,2.0,2.0,"Jun 24, 2013","
    Tom Mc Shea
  ","September 29, 2013 at 4:09PM PDT"
Remember Me Review,X360,887,2,Good,7,4.0,3.0,"Jun 3, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:08PM PDT"
Remember Me Review,PC,71,3,Good,7,4.0,3.0,"Jun 3, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:08PM PDT"
Remember Me Review,PS3,37,11,Good,7,4.0,3.0,"Jun 3, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:08PM PDT"
Naruto Shippuden: Ultimate Ninja Storm 3 Review,X360,64,4,Mediocre,5.5,3.0,4.0,"Mar 5, 2013","
    Carolyn Petit
  ","September 29, 2013 at 4:07PM PDT"
Naruto Shippuden: Ultimate Ninja Storm 3 Review,PS3,143,29,Fair,6,3.0,3.0,"Mar 5, 2013","
    Carolyn Petit
  ","September 29, 2013 at 4:07PM PDT"
StarCraft II: Heart of the Swarm Review,PC,603,4,Great,8,4.0,2.0,"Mar 12, 2013","
    Daniel Shannon
  ","September 29, 2013 at 4:04PM PDT"
Crysis 3 Review,PC,1063,14,Good,7.5,4.0,3.0,"Feb 19, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:01PM PDT"
Crysis 3 Review,PS3,27,1,Good,7.5,4.0,3.0,"Feb 19, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:01PM PDT"
Crysis 3 Review,X360,90,4,Good,7.5,4.0,3.0,"Feb 19, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 4:01PM PDT"
DmC: Devil May Cry - Vergil's Downfall Review,X360,10,21,Good,7,3.0,2.0,,"
    Mark Walton
  ","September 29, 2013 at 3:57PM PDT"
DmC: Devil May Cry Review,PS3,163,2,Good,7.5,5.0,3.0,"Jan 15, 2013","
    Mark Walton
  ","September 29, 2013 at 3:57PM PDT"
DmC: Devil May Cry Review,X360,1088,1,Great,8,5.0,3.0,"Jan 15, 2013","
    Mark Walton
  ","September 29, 2013 at 3:57PM PDT"
God of War: Ascension Review,PS3,1385,22,Great,8,4.0,2.0,"Mar 12, 2013","
    Mark Walton
  ","September 29, 2013 at 3:52PM PDT"
Grid 2 Review,X360,380,11,Great,8.5,4.0,2.0,"May 27, 2013","
    Shaun McInnis
  ","September 29, 2013 at 3:51PM PDT"
LEGO City Undercover Review,WIIU,204,27,Great,8,5.0,3.0,"Mar 18, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 3:48PM PDT"
Devil Summoner: Soul Hackers Review,3DS,28,3,Good,7,4.0,2.0,,"
    Heidi Kemps
  ","September 29, 2013 at 3:48PM PDT"
Dishonored Review,PS3,111,7,Superb,9,4.0,1.0,"Oct 8, 2012","
    Chris Watters
  ","September 29, 2013 at 3:31PM PDT"
Dishonored Review,X360,197,9,Superb,9,4.0,1.0,"Oct 8, 2012","
    Chris Watters
  ","September 29, 2013 at 3:31PM PDT"
Dishonored Review,PC,339,45,Superb,9,4.0,1.0,"Oct 8, 2012","
    Chris Watters
  ","September 29, 2013 at 3:31PM PDT"
Dishonored: The Knife of Dunwall Review,X360,55,5,Great,8.5,4.0,1.0,"Oct 8, 2012","
    Chris Watters
  ","September 29, 2013 at 3:31PM PDT"
Dishonored: The Knife of Dunwall Review,PS3,1,0,Great,8.5,4.0,1.0,"Oct 8, 2012","
    Chris Watters
  ","September 29, 2013 at 3:31PM PDT"
Dishonored: The Knife of Dunwall Review,PC,14,2,Great,8.5,4.0,1.0,"Oct 8, 2012","
    Chris Watters
  ","September 29, 2013 at 3:31PM PDT"
Mortal Kombat Komplete Edition Review,PC,38,28,Great,8.5,5.0,2.0,,"
    Mark Walton
  ","September 29, 2013 at 3:30PM PDT"
Ni no Kuni: Wrath of the White Witch Review,PS3,857,22,Superb,9,5.0,1.0,"Jan 22, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 3:28PM PDT"
Strike Suit Zero Review,PC,52,2,Good,7.5,4.0,3.0,"Jan 23, 2013","
    Peter Brown
  ","September 29, 2013 at 3:27PM PDT"
Shin Megami Tensei IV Review,3DS,194,4,Great,8,3.0,2.0,,"
    Peter Brown
  ","September 29, 2013 at 3:18PM PDT"
Company of Heroes 2 Review,PC,346,20,Good,7.5,5.0,3.0,"Jun 25, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 3:07PM PDT"
State of Decay Review,X360,505,20,Great,8,5.0,2.0,,"
    Leif Johnson
  ","September 29, 2013 at 2:51PM PDT"
Monster Hunter 3 Ultimate Review,3DS,81,2,Good,7,3.0,3.0,,"
    Ashton Raze
  ","September 29, 2013 at 2:45PM PDT"
Monster Hunter 3 Ultimate Review,WIIU,259,5,Great,8,5.0,2.0,"Mar 19, 2013","
    Ashton Raze
  ","September 29, 2013 at 2:45PM PDT"
Injustice: Gods Among Us Review,X360,820,2,Good,7,3.0,3.0,"Apr 3, 2013","
    Maxwell McGee
  ","September 29, 2013 at 2:41PM PDT"
Injustice: Gods Among Us Review,PS3,157,2,Good,7,3.0,3.0,"Apr 3, 2013","
    Maxwell McGee
  ","September 29, 2013 at 2:41PM PDT"
Dead Space 3: Awakened Review,X360,131,3,Poor,4.5,1.0,3.0,,"
    Shaun McInnis
  ","September 29, 2013 at 2:39PM PDT"
Dead Space 3 Review,PS3,63,15,Great,8,4.0,2.0,"Feb 5, 2013","
    Shaun McInnis
  ","September 29, 2013 at 2:39PM PDT"
Dead Space 3 Review,X360,1211,4,Great,8,4.0,2.0,"Feb 5, 2013","
    Shaun McInnis
  ","September 29, 2013 at 2:39PM PDT"
Spelunky Review,PC,122,4,Great,8.5,4.0,1.0,,"
    Tom Mc Shea
  ","September 29, 2013 at 2:36PM PDT"
Rise of the Triad Review,PC,183,1,Mediocre,5.5,4.0,4.0,,"
    Daniel Shannon
  ","September 29, 2013 at 2:21PM PDT"
Mario & Luigi: Dream Team Review,3DS,242,7,Great,8,5.0,1.0,"Aug 11, 2013","
    Mark Walton
  ","September 29, 2013 at 2:16PM PDT"
Killer Is Dead Review,PS3,555,4,Mediocre,5,1.0,4.0,"Aug 27, 2013","
    Mark Walton
  ","September 29, 2013 at 2:11PM PDT"
Shadowrun Returns Review,PC,319,7,Good,7,3.0,2.0,"Jul 25, 2013","
    Kevin VanOrd
  ","September 29, 2013 at 1:38PM PDT"
Dragon's Crown Review,PS3,809,2,Great,8,4.0,3.0,"Aug 6, 2013","
    Peter Brown
  ","September 29, 2013 at 1:22PM PDT"
Shelter Review,PC,23,6,Good,7,3.0,1.0,,"
    Kevin VanOrd
  ","September 3, 2013 at 5:42PM PDT"
Spycraft: The Great Game Review,PC,0,1,Good,7.1,1.0,1.0,,"
    Chris Hudak
  ","August 19, 2013 at 5:57PM PDT"
Open Me Review,VITA,16,1,Mediocre,5,2.0,2.0,,"
    Brett Todd
  ","August 19, 2013 at 3:34PM PDT"
Warframe Review (2013),PC,120,41,Fair,6,1.0,3.0,"Mar 25, 2013","
    Chris Watters
  ","August 2, 2013 at 12:35PM PDT"
Pikmin 3 Review,WIIU,1404,10,Great,8,5.0,2.0,"Aug 4, 2013","
    Tom Mc Shea
  ","July 31, 2013 at 10:00AM PDT"
Stealth Inc: A Clone in the Dark Review,PS3,128,4,Great,8,4.0,1.0,"Jul 23, 2013","
    Tom Mc Shea
  ","July 22, 2013 at 11:59PM PDT"
Time and Eternity Review,PS3,279,5,Bad,3.5,1.0,4.0,,"
    Heidi Kemps
  ","July 19, 2013 at 5:34PM PDT"
Guncraft Review,PC,52,6,Good,7.5,3.0,2.0,,"
    Nathan Meunier
  ","July 18, 2013 at 7:10PM PDT"
Pacific Rim Review,X360,101,11,Bad,3.5,2.0,4.0,"Jul 11, 2013","
    Leif Johnson
  ","July 18, 2013 at 3:05PM PDT"
Bleed Review,PC,47,0,Good,7.5,3.0,1.0,,"
    Tom Mc Shea
  ","July 12, 2013 at 4:07PM PDT"
Ride to Hell: Retribution Review,PC,328,92,Abysmal,1,1.0,5.0,"Jun 24, 2013","
    Gamespot Staff
  ","July 11, 2013 at 6:34PM PDT"
The Last Door Review,PC,73,3,Good,7,3.0,2.0,,"
    Carolyn Petit
  ","July 11, 2013 at 4:55PM PDT"
NCAA Football 14 Review,X360,203,11,Fair,6,2.0,3.0,"Jul 9, 2013","
    Tom Mc Shea
  ","July 5, 2013 at 10:00AM PDT"
Project X Zone Review,3DS,379,1,Fair,6.5,3.0,2.0,,"
    Carolyn Petit
  ","July 2, 2013 at 4:20PM PDT"
Scourge: Outbreak Review,X360,266,2,Terrible,2,1.0,5.0,"Jul 3, 2013","
    Mark Walton
  ","July 2, 2013 at 12:40PM PDT"
Leisure Suit Larry: Reloaded Review,PC,244,0,Poor,4,,,,,
Wargame: AirLand Battle Review,PC,96,5,Great,8,5.0,3.0,,"
    Brett Todd
  ","June 28, 2013 at 5:57PM PDT"
New Super Luigi U Review,WIIU,570,10,Great,8.5,3.0,1.0,"Nov 18, 2012","
    Peter Brown
  ","June 26, 2013 at 6:07PM PDT"
Game & Wario Review,WIIU,37,2,Mediocre,5,3.0,4.0,,"
    Heidi Kemps
  ","June 26, 2013 at 5:45PM PDT"
Hotline Miami Review,PS3,39,1,Great,8,4.0,2.0,,"
    Danny O'Dwyer
  ","June 26, 2013 at 9:59AM PDT"
Magrunner: Dark Pulse Review,PC,18,1,Good,7.5,3.0,2.0,,"
    Leif Johnson
  ","June 25, 2013 at 1:05PM PDT"
Kentucky Route Zero - Act II Review,PC,23,1,Great,8,4.0,1.0,"Feb 22, 2013","
    Carolyn Petit
  ","June 24, 2013 at 5:50PM PDT"
Marvel Heroes Review,PC,197,0,Mediocre,5.5,3.0,2.0,"Jun 3, 2013","
    Gamespot Staff
  ","June 24, 2013 at 5:50PM PDT"
Fist Puncher Review,PC,34,0,Good,7.5,4.0,2.0,,"
    Jason Venter
  ","June 24, 2013 at 5:50PM PDT"
The Night of the Rabbit Review,PC,10,1,Good,7,3.0,2.0,,"
    Gamespot Staff
  ","June 18, 2013 at 5:41PM PDT"
7 Grand Steps Review,PC,33,3,Good,7,3.0,2.0,,"
    Britton Peele
  ","June 7, 2013 at 10:09AM PDT"
Reus Review,PC,32,2,Great,8,4.0,1.0,,"
    Carolyn Petit
  ","June 4, 2013 at 5:37PM PDT"
Animal Crossing: New Leaf Review,3DS,199,33,Great,8,4.0,2.0,,"
    Tom Mc Shea
  ","June 4, 2013 at 9:54AM PDT"
Rush Bros. Review,PC,3,0,Mediocre,5.5,3.0,3.0,,"
    Jason Venter
  ","May 30, 2013 at 5:48PM PDT"
Denpa Men 2: Beyond the Waves Review,3DS,14,1,Great,8,3.0,2.0,,"
    Peter Brown
  ","May 30, 2013 at 5:49AM PDT"
The Swapper Review,PC,56,11,Great,8,4.0,2.0,,"
    Britton Peele
  ","May 30, 2013 at 10:00AM PDT"
Fuse Review,PS3,27,1,Good,7,3.0,3.0,"May 28, 2013","
    Chris Watters
  ","May 28, 2013 at 12:01AM PDT"
Fuse Review,X360,274,1,Good,7,3.0,3.0,"May 28, 2013","
    Chris Watters
  ","May 28, 2013 at 12:01AM PDT"
Renaissance Heroes Review,PC,45,2,Fair,6,4.0,3.0,,"
    Leif Johnson
  ","May 24, 2013 at 6:16PM PDT"
Resident Evil: Revelations Review,PC,144,9,Fair,6.5,3.0,3.0,"Feb 7, 2012","
    Carolyn Petit
  ","May 22, 2013 at 8:34PM PDT"
Resident Evil: Revelations Review,PS3,75,4,Fair,6.5,3.0,3.0,"Feb 7, 2012","
    Carolyn Petit
  ","May 22, 2013 at 8:34PM PDT"
Resident Evil: Revelations Review,X360,146,2,Fair,6.5,3.0,3.0,"Feb 7, 2012","
    Carolyn Petit
  ","May 22, 2013 at 8:33PM PDT"
Resident Evil: Revelations Review,WIIU,431,4,Fair,6.5,3.0,3.0,"Feb 7, 2012","
    Carolyn Petit
  ","May 22, 2013 at 8:33PM PDT"
Thunder Wolves Review,PC,9,1,Good,7,3.0,2.0,,"
    Gamespot Staff
  ","May 22, 2013 at 5:57PM PDT"
Donkey Kong Country Returns 3D Review,3DS,183,4,Good,7,4.0,3.0,,"
    Tom Mc Shea
  ","May 20, 2013 at 11:49AM PDT"
Anomaly 2 Review,PC,17,1,Great,8,4.0,1.0,,"
    Nathan Meunier
  ","May 17, 2013 at 5:58PM PDT"
Might & Magic Heroes VI - Shades of Darkness Review,PC,60,2,Fair,6,3.0,3.0,,"
    Brett Todd
  ","May 17, 2013 at 5:58PM PDT"
Eador: Masters of the Broken World Review,PC,45,7,Poor,4,2.0,4.0,,"
    Gamespot Staff
  ","May 14, 2013 at 9:49AM PDT"
StarDrive Review,PC,16,1,Fair,6,3.0,3.0,,"
    Daniel Shannon
  ","May 13, 2013 at 5:27PM PDT"
Poker Night 2 Review,X360,41,3,Good,7,3.0,3.0,,"
    Nathan Meunier
  ","May 10, 2013 at 9:52AM PDT"
Leviathan: Warships Review,PC,3,0,Fair,6.5,3.0,2.0,,"
    Gamespot Staff
  ","May 9, 2013 at 5:21PM PDT"
Strike Suit Infinity Review,PC,22,2,Good,7.5,4.0,1.0,,"
    Peter Brown
  ","May 9, 2013 at 2:00PM PDT"
Deadly Premonition: The Director's Cut Review,PS3,160,5,Good,7,4.0,3.0,"Feb 17, 2010","
    Kevin VanOrd
  ","May 8, 2013 at 6:09PM PDT"
Battle for Graxia Review,PC,48,1,Good,7.5,5.0,2.0,,"
    Gamespot Staff
  ","May 8, 2013 at 5:53PM PDT"
Zeno Clash II Review,PC,55,2,Mediocre,5.5,2.0,3.0,"Apr 30, 2013","
    Brett Todd
  ","May 7, 2013 at 6:05PM PDT"
Soul Sacrifice Review,VITA,128,3,Good,7.5,3.0,2.0,,"
    Peter Brown
  ","May 2, 2013 at 6:38PM PDT"
Star Trek The Video Game Review,PC,432,5,Bad,3.5,1.0,5.0,"Apr 23, 2013","
    Mark Walton
  ","May 2, 2013 at 5:45AM PDT"
Thomas Was Alone Review,VITA,22,0,Good,7.5,3.0,1.0,,"
    Tom Mc Shea
  ","April 29, 2013 at 2:25PM PDT"
Thomas Was Alone Review,PS3,4,1,Good,7.5,3.0,1.0,,"
    Tom Mc Shea
  ","April 26, 2013 at 5:28PM PDT"
God Mode Review,PC,18,0,Fair,6,4.0,3.0,,"
    Leif Johnson
  ","April 26, 2013 at 9:53AM PDT"
Dead Island: Riptide Review,PS3,39,11,Poor,4,1.0,4.0,"Apr 22, 2013","
    Mark Walton
  ","April 25, 2013 at 3:55AM PDT"
Dead Island: Riptide Review,PC,2061,3,Poor,4,1.0,4.0,"Apr 22, 2013","
    Mark Walton
  ","April 25, 2013 at 3:31AM PDT"
Monaco: What's Yours Is Mine Review,X360,75,1,Good,7,4.0,2.0,"Apr 24, 2013","
    Tom Mc Shea
  ","April 24, 2013 at 8:27AM PDT"
Surgeon Simulator 2013 Review,PC,463,7,Great,8,4.0,2.0,"Apr 19, 2013","
    Shaun McInnis
  ","April 23, 2013 at 6:44PM PDT"
ShootMania Storm Review,PC,219,1,Good,7.5,3.0,1.0,"Apr 10, 2013","
    Carolyn Petit
  ","April 19, 2013 at 6:48PM PDT"
Motocross Madness Review,X360,15,18,Good,7.5,4.0,2.0,,"
    Leif Johnson
  ","April 18, 2013 at 6:04PM PDT"
Papo & Yo Review,PC,42,5,Good,7.5,2.0,1.0,,"
    Carolyn Petit
  ","April 18, 2013 at 6:00AM PDT"
Age of Empires II HD Edition Review,PC,117,114,Mediocre,5.5,2.0,1.0,,"
    Daniel Shannon
  ","April 16, 2013 at 4:42PM PDT"
Evoland Review,PC,29,7,Mediocre,5,1.0,2.0,"Apr 4, 2013","
    Carolyn Petit
  ","April 10, 2013 at 6:17PM PDT"
Sang-Froid: Tales of Werewolves Review,PC,23,1,Good,7.5,3.0,2.0,,"
    Nathan Meunier
  ","April 10, 2013 at 5:36PM PDT"
Terraria Review,PS3,19,5,Great,8,4.0,2.0,,"
    Britton Peele
  ","April 9, 2013 at 2:56AM PDT"
BattleBlock Theater Review,X360,19,8,Great,8.5,5.0,1.0,,"
    Jason Venter
  ","April 5, 2013 at 5:51PM PDT"
Pokemon Mystery Dungeon: Gates to Infinity Review,3DS,85,3,Mediocre,5,4.0,4.0,,"
    Heidi Kemps
  ","April 3, 2013 at 7:15PM PDT"
Need for Speed: Most Wanted U Review,WIIU,123,0,Good,7.5,5.0,4.0,,"
    Carolyn Petit
  ","April 3, 2013 at 2:58PM PDT"
Shattered Haven Review,PC,5,0,Mediocre,5,2.0,3.0,,"
    Gamespot Staff
  ","April 1, 2013 at 5:16PM PDT"
HarmoKnight Review,3DS,17,0,Fair,6,3.0,3.0,,"
    Gamespot Staff
  ","April 1, 2013 at 3:13PM PDT"
Sniper: Ghost Warrior 2 Review,PS3,11,39,Good,7,4.0,3.0,"Mar 11, 2013","
    Brett Todd
  ","April 1, 2013 at 1:17PM PDT"
Army of Two: The Devil's Cartel Review,PS3,50,3,Mediocre,5,3.0,4.0,"Mar 26, 2013","
    Kevin VanOrd
  ","March 29, 2013 at 6:11PM PDT"
Army of Two: The Devil's Cartel Review,X360,486,1,Mediocre,5,3.0,4.0,"Mar 26, 2013","
    Kevin VanOrd
  ","March 29, 2013 at 6:11PM PDT"
Tiger Woods PGA Tour 14 Review,PS3,16,11,Good,7.5,4.0,2.0,,"
    Brett Todd
  ","March 28, 2013 at 6:00PM PDT"
Tiger Woods PGA Tour 14 Review,X360,6,3,Good,7.5,4.0,3.0,,"
    Brett Todd
  ","March 28, 2013 at 6:00PM PDT"
Alien Spidy Review,X360,5,0,Poor,4.5,2.0,3.0,,"
    Nathan Meunier
  ","March 27, 2013 at 5:19PM PDT"
Starseed Pilgrim Review,PC,1,0,Great,8,3.0,1.0,,"
    Gamespot Staff
  ","March 26, 2013 at 6:28PM PDT"
The Walking Dead: Survival Instinct Review,PC,17,7,Poor,4,2.0,3.0,"Mar 19, 2013","
    Shaun McInnis
  ","March 25, 2013 at 7:13PM PDT"
The Walking Dead: Survival Instinct Review,X360,341,4,Poor,4,2.0,3.0,"Mar 19, 2013","
    Shaun McInnis
  ","March 25, 2013 at 6:23PM PDT"
WRC Powerslide Review,X360,3,2,Mediocre,5.5,2.0,3.0,,"
    Leif Johnson
  ","March 22, 2013 at 7:06PM PDT"
Luigi's Mansion: Dark Moon Review,3DS,1545,32,Fair,6.5,3.0,2.0,,"
    Carolyn Petit
  ","March 21, 2013 at 5:58PM PDT"
Worms: Battle Islands Review,PSP,12,3,Good,7,4.0,2.0,,"
    Leif Johnson
  ","March 21, 2013 at 4:02PM PDT"
Sniper: Ghost Warrior 2 Review,PC,109,9,Good,7,4.0,3.0,"Mar 11, 2013","
    Brett Todd
  ","March 19, 2013 at 4:18PM PDT"
Sniper: Ghost Warrior 2 Review,X360,7,2,Good,7,4.0,3.0,"Mar 11, 2013","
    Brett Todd
  ","March 19, 2013 at 4:13PM PDT"
Etrian Odyssey IV Review,3DS,42,4,Great,8,4.0,2.0,,"
    Heidi Kemps
  ","March 18, 2013 at 5:36PM PDT"
Darkstalkers Resurrection Review,X360,75,2,Great,8,4.0,1.0,"Mar 12, 2013","
    Maxwell McGee
  ","March 15, 2013 at 6:51PM PDT"
Wizardry Online Review,PC,45,0,Mediocre,5.5,3.0,4.0,,"
    Gamespot Staff
  ","March 14, 2013 at 6:16PM PDT"
MLB 13: The Show Review,VITA,13,0,Good,7.5,4.0,2.0,,"
    Brett Todd
  ","March 11, 2013 at 8:12PM PDT"
MLB 13: The Show Review,PS3,49,7,Great,8.5,5.0,2.0,,"
    Brett Todd
  ","March 11, 2013 at 7:32PM PDT"
MLB 2K13 Review,X360,50,2,Mediocre,5,3.0,3.0,,"
    Brett Todd
  ","March 11, 2013 at 6:53PM PDT"
MLB 2K13 Review,PS3,14,2,Mediocre,5,3.0,3.0,,"
    Brett Todd
  ","March 11, 2013 at 6:50PM PDT"
Mass Effect 3: Citadel Review,X360,64,4,Good,7,3.0,1.0,"Mar 5, 2012","
    Maxwell McGee
  ","March 7, 2013 at 6:38PM PST"
March of the Eagles Review,PC,25,0,Good,7,3.0,2.0,,"
    Daniel Shannon
  ","March 7, 2013 at 6:11PM PST"
Impire Review,PC,32,0,Poor,4.5,2.0,4.0,,"
    Nathan Meunier
  ","March 7, 2013 at 6:10PM PST"
Castlevania: Lords of Shadow - Mirror of Fate Review,3DS,163,7,Good,7,3.0,3.0,"Mar 5, 2013","
    Peter Brown
  ","March 5, 2013 at 5:55PM PST"
A Valley Without Wind 2 Review,PC,14,1,Great,8,4.0,2.0,"Feb 18, 2013","
    Jason Venter
  ","March 4, 2013 at 6:55PM PST"
Sniper Elite: Nazi Zombie Army Review,PC,25,1,Fair,6,2.0,3.0,,"
    Britton Peele
  ","March 4, 2013 at 6:47PM PST"
Brutal Legend Review,PC,154,0,Good,7,3.0,2.0,"Oct 13, 2009","
    Britton Peele
  ","March 1, 2013 at 6:35PM PST"
The Bridge Review,PC,10,10,Good,7.5,3.0,2.0,"Feb 22, 2013","
    Leif Johnson
  ","March 1, 2013 at 5:28PM PST"
Oozi: Earth Adventure Review,PC,3,0,Fair,6,2.0,3.0,,"
    Nathan Meunier
  ","February 20, 2013 at 6:37PM PST"
Proteus Review,PC,275,3,Great,8,3.0,1.0,"Jan 30, 2013","
    Gamespot Staff
  ","February 14, 2013 at 12:40PM PST"
Anodyne Review,PC,8,0,Good,7,3.0,3.0,,"
    Leif Johnson
  ","February 13, 2013 at 5:39PM PST"
Aliens: Colonial Marines Review,X360,1953,3,Poor,4.5,2.0,4.0,"Feb 11, 2013","
    Kevin VanOrd
  ","February 12, 2013 at 1:56AM PST"
Aliens: Colonial Marines Review,PC,249,0,Poor,4.5,2.0,4.0,"Feb 11, 2013","
    Kevin VanOrd
  ","February 12, 2013 at 1:00AM PST"
Akaneiro: Demon Hunters Review,PC,96,1,Mediocre,5,2.0,3.0,"Jan 24, 2013","
    Kevin VanOrd
  ","February 11, 2013 at 2:25PM PST"
Omerta: City of Gangsters Review,PC,80,3,Poor,4,3.0,4.0,,"
    Gamespot Staff
  ","February 11, 2013 at 1:58AM PST"
Retrovirus Review,PC,8,0,Good,7,3.0,2.0,,"
    Nathan Meunier
  ","February 7, 2013 at 5:53PM PST"
Antichamber Review,PC,87,3,Great,8.5,4.0,1.0,"Jan 31, 2013","
    Mark Walton
  ","January 31, 2013 at 4:48PM PST"
Skulls of the Shogun Review,X360,7,2,Good,7.5,4.0,2.0,,"
    Brett Todd
  ","January 30, 2013 at 6:20PM PST"
Corpse Party: Book of Shadows Review,PSP,14,4,Good,7,4.0,2.0,,"
    Leif Johnson
  ","January 24, 2013 at 4:46PM PST"
The Cave Review,X360,35,4,Good,7,4.0,2.0,"Jan 22, 2013","
    Mark Walton
  ","January 22, 2013 at 12:30PM PST"
The War Z Review,PC,466,6,Terrible,2,1.0,5.0,"Oct 15, 2012","
    Brett Todd
  ","January 17, 2013 at 6:23PM PST"
Earth Defense Force 2017 Portable Review,VITA,18,0,Good,7,4.0,2.0,,"
    Leif Johnson
  ","January 17, 2013 at 12:54PM PST"
Cart Life Review,PC,26,0,Good,7.5,5.0,1.0,"Jul 29, 2010","
    Carolyn Petit
  ","January 14, 2013 at 6:00PM PST"
Little Inferno Review,WIIU,9,7,Good,7,3.0,2.0,"Nov 18, 2012","
    Nathan Meunier
  ","January 11, 2013 at 3:57PM PST"
Forge Review,PC,26,1,Good,7.5,3.0,3.0,"Dec 4, 2012","
    Gamespot Staff
  ","January 10, 2013 at 10:24PM PST"
Chaos on Deponia Review,PC,26,2,Good,7.5,4.0,2.0,,"
    Mark Walton
  ","January 9, 2013 at 2:00AM PST"
Miasmata Review,PC,60,11,Good,7.5,3.0,2.0,,"
    Nathan Meunier
  ","January 4, 2013 at 6:05PM PST"
Black Knight Sword Review,PS3,48,2,Good,7,2.0,2.0,,"
    Peter Brown
  ","December 21, 2012 at 7:35AM PST"
Trine 2: Director's Cut Review,WIIU,130,0,Fair,6.5,3.0,2.0,"Dec 7, 2011","
    Carolyn Petit
  ","December 17, 2012 at 5:41PM PST"
Guardians of Middle-earth Review,X360,21,0,Good,7,4.0,3.0,,"
    Leif Johnson
  ","December 13, 2012 at 2:57PM PST"
Baldur's Gate: Enhanced Edition Review,PC,260,3,Fair,6,3.0,3.0,,"
    Brett Todd
  ","December 11, 2012 at 11:32AM PST"
Far Cry 3 Review,X360,480,11,Superb,9,5.0,2.0,"Dec 4, 2012","
    Kevin VanOrd
  ","December 5, 2012 at 6:19PM PST"
Far Cry 3 Review,PC,268,40,Superb,9,5.0,2.0,"Dec 4, 2012","
    Kevin VanOrd
  ","December 5, 2012 at 6:19PM PST"
Far Cry 3 Review,PS3,95,13,Superb,9,5.0,2.0,"Dec 4, 2012","
    Kevin VanOrd
  ","December 5, 2012 at 6:18PM PST"
Mass Effect 3: Omega Review,X360,67,2,Mediocre,5.5,2.0,3.0,,"
    Kevin VanOrd
  ","December 5, 2012 at 5:57PM PST"
Ratchet & Clank: Full Frontal Assault Review,PS3,47,3,Good,7,3.0,2.0,"Nov 27, 2012","
    Carolyn Petit
  ","December 4, 2012 at 8:21PM PST"
FIFA Soccer 13 Review,WIIU,14,1,Good,7,3.0,3.0,"Sep 25, 2012","
    Mark Walton
  ","November 30, 2012 at 8:54AM PST"
Scribblenauts Unlimited Review,WIIU,0,6,Good,7,3.0,2.0,"Nov 13, 2012","
    Tom Mc Shea
  ","November 29, 2012 at 5:49PM PST"
Call of Duty: Black Ops Declassified Review,VITA,303,23,Terrible,2.5,1.0,5.0,,"
    Brett Todd
  ","November 28, 2012 at 3:51PM PST"
Mass Effect 3: Special Edition Review,WIIU,0,4,Superb,9,5.0,2.0,"Mar 5, 2012","
    Kevin VanOrd
  ","November 27, 2012 at 8:56PM PST"
Tank! Tank! Tank! Review,WIIU,38,1,Poor,4,1.0,4.0,,"
    Britton Peele
  ","November 27, 2012 at 10:22AM PST"
Disney Epic Mickey: Power of Illusion Review,3DS,0,0,Great,8,5.0,1.0,,"
    Mark Walton
  ","November 27, 2012 at 3:28AM PST"
Ravaged Review,PC,18,0,Fair,6,2.0,3.0,,"
    Nathan Meunier
  ","November 26, 2012 at 2:04PM PST"
Lego The Lord of the Rings Review,X360,99,8,Great,8.5,4.0,2.0,,"
    Jason Venter
  ","November 21, 2012 at 6:43PM PST"
Batman: Arkham City - Armored Edition Review,WIIU,58,6,Great,8.5,5.0,1.0,"Oct 18, 2011","
    Carolyn Petit
  ","November 21, 2012 at 6:27PM PST"
The Walking Dead: Episode 5 - No Time Left Review,PC,79,0,Good,7.5,3.0,2.0,,"
    Brett Todd
  ","November 21, 2012 at 4:44PM PST"
The Walking Dead: Episode 5 - No Time Left Review,PS3,6,1,Good,7.5,3.0,2.0,,"
    Brett Todd
  ","November 21, 2012 at 4:44PM PST"
